2025-09-02 23:56:31,982: Train ICNN with JFB on CT
2025-09-02 23:56:31,982: The model has 26499 parameters
2025-09-02 23:56:31,983: Parameters:
2025-09-02 23:56:31,983: load_pretrain: False, load_parameter_fitting: False, score_sigma: 0.015
2025-09-02 23:56:31,983: pretrain_epochs: 0, pretrain_lr: 0.001, epochs: 4
2025-09-02 23:56:31,983: adabelief: True, fitting_lr: 0.1, lr: 0.005
2025-09-02 23:56:31,983: jacobian_regularization: False, jacobian_regularization_parameter: 1e-09, lmbd: 1.0
2025-09-02 23:58:30,389: maxiter hit in iteration 1
2025-09-03 00:00:22,499: maxiter hit in iteration 2
2025-09-03 03:07:33,641: [Epoch 2] Val Loss: 3.26E+01, PSNR: 32.92
2025-09-03 03:10:03,890: Step 10, Train PSNR 32.940779304504396
2025-09-03 03:12:35,025: Step 20, Train PSNR 33.30637655258179
2025-09-03 03:15:02,479: Step 30, Train PSNR 33.442236773173015
2025-09-03 03:17:35,059: Step 40, Train PSNR 33.409138917922974
2025-09-03 03:20:09,366: Step 50, Train PSNR 33.37703929901123
2025-09-03 03:22:39,803: Step 60, Train PSNR 33.42717065811157
2025-09-03 03:25:03,196: Step 70, Train PSNR 33.357192502702986
2025-09-03 03:27:35,164: Step 80, Train PSNR 33.34548978805542
2025-09-03 03:30:05,010: Step 90, Train PSNR 33.32312253316243
2025-09-03 03:32:34,201: Step 100, Train PSNR 33.303532371520994
2025-09-03 03:35:10,477: Step 110, Train PSNR 33.26896020715887
2025-09-03 03:37:36,506: Step 120, Train PSNR 33.216713746388756
2025-09-03 03:40:01,516: Step 130, Train PSNR 33.21399313119741
2025-09-03 03:42:30,854: Step 140, Train PSNR 33.20563103812081
2025-09-03 03:44:57,972: Step 150, Train PSNR 33.19836298624674
2025-09-03 03:47:25,582: Step 160, Train PSNR 33.2147864818573
2025-09-03 03:49:52,299: Step 170, Train PSNR 33.20240842033835
2025-09-03 03:52:25,111: Step 180, Train PSNR 33.215454483032225
2025-09-03 03:54:55,619: Step 190, Train PSNR 33.22215158562911
2025-09-03 03:57:27,861: Step 200, Train PSNR 33.2194211769104
2025-09-03 03:59:58,731: Step 210, Train PSNR 33.219158336094445
2025-09-03 04:02:31,133: Step 220, Train PSNR 33.224098257585005
2025-09-03 04:05:05,541: Step 230, Train PSNR 33.23772901452106
2025-09-03 04:07:44,994: Step 240, Train PSNR 33.2542815844218
2025-09-03 04:10:24,704: Step 250, Train PSNR 33.244294570922854
2025-09-03 04:13:00,468: Step 260, Train PSNR 33.2417106628418
2025-09-03 04:15:36,924: Step 270, Train PSNR 33.24923621283637
2025-09-03 04:18:15,637: Step 280, Train PSNR 33.26713623319353
2025-09-03 04:20:53,093: Step 290, Train PSNR 33.26281560700515
2025-09-03 04:23:27,655: Step 300, Train PSNR 33.27004440307617
2025-09-03 04:26:03,554: Step 310, Train PSNR 33.262982897604665
2025-09-03 04:28:42,900: Step 320, Train PSNR 33.25628971457481
2025-09-03 04:31:26,529: Step 330, Train PSNR 33.26928775093772
2025-09-03 04:34:01,613: Step 340, Train PSNR 33.267253539141485
2025-09-03 04:36:33,907: Step 350, Train PSNR 33.27478957584926
